gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
FLNB,ENSG00000136068,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(3.458), Tumor(3.28), Endothelial(2.583)",0,34.8,1.533,1.112,Epithelial,3.28,3.458,0.763,1.536
FLT3LG,ENSG00000090554,IO,,Dendritic Cell,,,,,Pericyte,"Pericyte(7.451), Endothelial(7.398), B_cell(7.361)",0,99.4,7.272,32.272,Stroma,7.101,6.939,7.295,7.334
FN1,ENSG00000115414,IO,,Fibroblast;Lineage Marker,Tumor:emt; Endothelial:endmt; CAF/Adipo:matrix_remodel; CAF/Adipo:emt,CAF/Adipo; Endothelial; Tumor,emt; endmt; matrix_remodel,emt; matrix_remodel; EndMT,CAF_Fibroblast,"CAF_Fibroblast(4.451), Adipocyte(4.337), Endothelial(3.764)",4,52.3,2.78,4.363,Stroma,2.461,2.219,2.147,4.158
FOXA1,ENSG00000129514,Breast,Breast cancer,,Tumor:luminal_mature,Tumor,luminal_mature,,Myoepithelial,"Myoepithelial(3.464), Tumor(3.436), Macrophage_Mono(0.217)",1,18.6,0.843,1.16,Epithelial,3.436,3.464,0.112,0.127
FOXC2,ENSG00000176692,Breast,Smooth muscle cells,,,,,,Myoepithelial,"Myoepithelial(0.415), Tumor(0.299), Endothelial(0.283)",0,3.7,0.14,0.05,Epithelial,0.299,0.415,0.056,0.157
FOXP3,ENSG00000049768,Breast+IO,T cells,T Cell;Regulatory,T/NK:treg,T/NK,treg,Treg,T_NK,"T_NK(0.687), Macrophage_Mono(0.162), Dendritic(0.154)",1,5.6,0.24,0.088,Immune,0.151,0.149,0.375,0.082
FSTL3,ENSG00000070404,Breast,Smooth muscle cells,,,,,,Adipocyte,"Adipocyte(1.054), CAF_Fibroblast(0.789), Myoepithelial(0.769)",0,11.2,0.428,0.166,Epithelial,0.63,0.769,0.196,0.673
GATA2,ENSG00000179348,IO,,Oncogene,Mast:mast_core,Mast,mast_core,mast_core,Mast,"Mast(2.067), Endothelial(0.463), Pericyte(0.258)",1,4.3,0.162,0.063,Epithelial,0.233,0.256,0.111,0.198
GATA3,ENSG00000107485,Breast+IO,Breast cancer,T Cell;Innate Lymphoid Cell;ILC2;Naive,Tumor:luminal_mature; T/NK:th2,T/NK; Tumor,luminal_mature; th2,,Myoepithelial,"Myoepithelial(4.043), Tumor(3.77), T_NK(1.243)",2,27.0,1.274,2.007,Epithelial,3.77,4.043,0.738,0.296
GJB2,ENSG00000165474,Breast,Macrophages,,,,,,CAF_Fibroblast,"CAF_Fibroblast(0.477), Adipocyte(0.388), Tumor(0.253)",0,5.4,0.215,0.102,Stroma,0.253,0.191,0.128,0.339
GLIPR1,ENSG00000139278,Breast,Breast myoepithelial cells,,,,,,Dendritic,"Dendritic(2.594), Macrophage_Mono(2.275), B_cell(1.739)",0,30.5,1.338,0.517,Immune,0.818,1.014,1.801,0.971
GNLY,ENSG00000115523,Breast+IO,NK cells,T Cell;CD8+;Effector;Cytotoxic,T/NK:cytotoxic_effector,T/NK,cytotoxic_effector,cytotoxic_effector,T_NK,"T_NK(0.314), Endothelial(0.085), Dendritic(0.071)",1,2.4,0.108,0.05,Immune,0.048,0.061,0.166,0.055
GPR183,ENSG00000169508,Breast+IO,T cells,T Cell,,,,,Dendritic,"Dendritic(2.567), T_NK(2.409), Macrophage_Mono(2.273)",0,27.2,1.273,0.565,Immune,0.332,0.295,2.145,0.533
GPR34,ENSG00000171659,IO,,Dendritic Cell,,,,,Macrophage_Mono,"Macrophage_Mono(1.262), Dendritic(0.575), Mast(0.32)",0,7.3,0.305,0.099,Immune,0.169,0.169,0.44,0.186
GZMA,ENSG00000145649,Breast+IO,T cells,T Cell;Naive;CD8+,T/NK:cytotoxic_effector,T/NK,cytotoxic_effector,cytotoxic_effector,T_NK,"T_NK(1.464), Dendritic(0.41), Plasma(0.335)",1,10.3,0.473,0.177,Immune,0.128,0.131,0.807,0.178
GZMK,ENSG00000113088,Breast+IO,T cells,T Cell;Effector;CD8+;Exhausted,T/NK:cytotoxic_effector,T/NK,cytotoxic_effector,cytotoxic_effector,T_NK,"T_NK(0.106), B_cell(0.024), Plasma(0.023)",1,0.7,0.031,0.007,Immune,0.004,0.002,0.057,0.009
HAVCR2,ENSG00000135077,Breast+IO,T cells,T Cell;Exhausted,T/NK:exhausted,T/NK,exhausted,exhausted,Macrophage_Mono,"Macrophage_Mono(2.134), Dendritic(1.638), T_NK(0.577)",1,13.1,0.553,0.223,Immune,0.317,0.263,0.86,0.225
