Barcode,Cluster
aafdkkgh-1,5
aafejkai-1,5
aafekhcd-1,5
aafemlhk-1,5
aafenlgg-1,5
aaffbpjd-1,5
aaffeome-1,5
aaffjljm-1,17
aaffoobc-1,5
aafgdngn-1,17
aafgdogf-1,5
aafhafcn-1,5
aafhffna-1,17
aafhfgjl-1,5
aafhfmef-1,5
aafhggcd-1,5
aafhjlaa-1,5
aafhjopi-1,5
aafholhk-1,5
aafiajio-1,17
aafiaoji-1,17
aafibfon-1,5
aafikonn-1,5
aafinoli-1,17
aafiogmo-1,5
aafjendm-1,5
aafjgjhd-1,5
aafjkjhh-1,5
aafjppgl-1,17
aafkaegc-1,5
aafkahlp-1,5
aafkfnkh-1,17
aafkhjdp-1,17
aafkhkmo-1,17
aafknflg-1,5
aaflbbln-1,5
aaflgpje-1,6
aaflhemm-1,5
aafloopg-1,6
aafmcipn-1,17
aafmcppk-1,11
aafmdfnn-1,17
aafmfdpl-1,5
aafmflah-1,17
aafncjel-1,17
aafngepd-1,17
aafnjkja-1,5
aafnonei-1,6
aafobcjh-1,6
aafocoek-1,6
aafohoof-1,5
aafpbhhj-1,6
aafpglbb-1,17
aafpojcc-1,5
aafppknm-1,5
aagaajhg-1,5
aagbiflk-1,5
aagblnfh-1,5
aagbmmkf-1,5
aagcdcib-1,5
aagcddog-1,6
aagcdlgf-1,5
aagcjihe-1,5
aagdbhbf-1,6
aagdcnkg-1,6
aagdlkpg-1,5
aageenge-1,6
aagefcin-1,5
aageihpd-1,5
aagejgmd-1,5
aagemidk-1,5
aagemjdk-1,5
aagenign-1,5
aagepfng-1,5
aagfgfjb-1,5
aagflbfa-1,5
aagfonhf-1,5
aaggcigd-1,6
aagggnda-1,6
aaggkmob-1,5
aaggofgj-1,5
aaghcdnm-1,5
aaghchbj-1,5
aaghdkjo-1,5
aaghgdno-1,3
aaghpgdf-1,3
aagibbja-1,1
aagieloj-1,3
aagiengj-1,3
aagilpad-1,3
aagioabk-1,3
aagipmcp-1,3
aagjdjij-1,2
aagjegmh-1,9
aagjgbda-1,3
aagjoamn-1,1
aagljdog-1,1
aaglnbkl-1,3
aagmaekc-1,1
aagmjien-1,14
aagmmifc-1,14
aagmnigg-1,14
aagnbkog-1,1
aagnmpce-1,1
aagoagap-1,3
aagoaokp-1,1
aagoebhm-1,1
aagoihba-1,10
aagoldob-1,3
aagomaei-1,1
aagoncch-1,3
aagopllo-1,3
aagpgjbp-1,3
aagpmjbm-1,1
aahadcok-1,15
aahalieb-1,14
aahbadpi-1,3
aahbbnil-1,1
aahbgclb-1,3
aahbgkmh-1,1
aahciaga-1,3
aahclceb-1,14
aahcohnj-1,3
aahcpkka-1,1
aahdanoh-1,3
aahdefhi-1,3
aahdfeal-1,3
aahdiekm-1,3
aahdiknj-1,10
aahdjbhc-1,1
aahdmhcj-1,3
aahecagh-1,1
aahegmom-1,3
aahekpnj-1,3
aahenloe-1,3
aahfdokm-1,1
aahffmfk-1,3
aahfomic-1,1
aahgaacp-1,1
aahgcamn-1,3
aahgcmhm-1,14
aahgikfh-1,2
aahhabne-1,2
aahhjfcb-1,15
aahhlkdm-1,1
aahhpeoi-1,1
aahifhjn-1,1
aahijgng-1,3
aahjbgcb-1,1
aahjfbhi-1,1
aahkbfha-1,1
aahkdijb-1,10
aahkdpoi-1,1
aahkhbec-1,1
aahkkjpi-1,7
aahknplf-1,2
aahlifal-1,7
aahljhoi-1,7
aahlmmei-1,2
aahmpgmg-1,2
aahnechk-1,1
aahnpbpk-1,2
aahobcll-1,2
aahokcop-1,5
aahomagg-1,14
aahomalc-1,1
aahpagkb-1,13
aahpblce-1,13
aahpilfc-1,13
aahpmcdg-1,17
aaiacggc-1,17
aaiadmli-1,5
aaiaeemf-1,5
aaiaggbd-1,5
aaiahjce-1,5
aaiaknka-1,7
aaidhnle-1,8
aaidjhco-1,7
aaidlfbd-1,7
aaidnafp-1,2
aaiebgkk-1,1
aaiedkbl-1,1
aaiekjob-1,1
aaifcfom-1,1
aaifnaaj-1,1
aaifnefa-1,8
aaihaoic-1,1
aaihbkom-1,1
aaihjllj-1,1
aaihofok-1,1
aaiibcjd-1,1
aaiigimf-1,13
aaijdefe-1,13
aaijhcoo-1,2
aaijmlna-1,2
aaikcebb-1,6
aaikcofe-1,11
aaikeijf-1,5
aaikfmgc-1,5
aaikhahk-1,5
aaikiolp-1,6
aaiknjpf-1,6
aailbjgb-1,5
aailfibc-1,5
aailjpih-1,13
aailogoe-1,4
aaimdoai-1,2
aaimhcca-1,2
aaimhjnp-1,5
aaimpoha-1,5
aaimpoil-1,17
aaipanea-1,17
aaipdonj-1,17
aaipdpji-1,5
aaipfmmk-1,17
aaipnbff-1,17
aaipohfl-1,5
aajahoko-1,5
aajaocem-1,17
aajbfeba-1,5
aajbfpme-1,5
aajcahpg-1,5
aajchpgo-1,5
aajdibpl-1,5
aajdjdlg-1,5
aajdkclm-1,5
aajdkcmk-1,5
aajdmbba-1,5
aajdpajb-1,5
aajeodje-1,5
aajfagbl-1,5
aajffboj-1,1
aajfhajk-1,1
aajfjndm-1,10
aajfocdi-1,1
aajfoohd-1,8
aajgchpp-1,1
aajgciag-1,2
aajheckf-1,10
aajhfndj-1,1
aajhjaig-1,1
aajhnenf-1,2
aajhnlgl-1,3
aajhomam-1,1
aajiacpa-1,3
aajibhlo-1,1
aajieghh-1,14
aajignch-1,14
aajiolmk-1,14
aajjjchk-1,2
aajjoghi-1,2
aajkgfbk-1,2
aajkhoeb-1,1
aajkpdcg-1,14
aajlaabe-1,2
aajldppm-1,13
aajlfedm-1,14
aajlflel-1,13
aajljkcd-1,14
aajmghjf-1,14
aajmgmbn-1,1
aajmhagn-1,1
aajnbchl-1,14
aajncccm-1,13
aajngohe-1,2
aajnjopo-1,14
aajnpjkj-1,10
aajoalac-1,13
aajodand-1,15
aajodcld-1,3
aajoigon-1,1
aajolhon-1,1
aajopbji-1,1
aajpafco-1,14
aajpcecn-1,14
aajpdgpk-1,14
aajpdjco-1,14
aajpeggh-1,13
aajpidbl-1,8
aajpnbno-1,13
aajpobcb-1,24
aakabacj-1,13
aakaclnk-1,14
aakaholj-1,2
aakanoea-1,1
aakapnmc-1,9
aakbcdom-1,7
aakbemmm-1,8
aakbfhph-1,7
aakbgfia-1,7
aakbnmaa-1,8
aakbnomi-1,13
aakcaoji-1,5
aakcikji-1,5
aakcneeo-1,5
aakdcgbp-1,5
aakdcohb-1,5
aakdcpch-1,5
aakddlgi-1,5
aakdfmhm-1,6
aakdggho-1,2
aakdhngd-1,5
aakdibcl-1,6
aakdjoao-1,14
aakeadal-1,13
aakeaohl-1,7
aakebgll-1,9
aakecloi-1,5
aakeiedp-1,5
aakelfof-1,2
aakeljnd-1,5
aakemkjl-1,5
aakfjfal-1,17
aakfocfj-1,5
aakfohag-1,5
